,Status ID,Customer ID,Count,Quarter,Satisfaction Score,Customer Status,Churn Label,Churn Value,Churn Score,CLTV,Churn Category,Churn Reason
0,SWSORB1252,8779-QRDMV,1,Q3,3,Churned,Yes,1,91,5433,Competitor,Competitor offered more data
1,SNAEQA8572,7495-OOKFY,1,Q3,3,Churned,Yes,1,69,5302,Competitor,Competitor made better offer
2,LMBQNN3714,1658-BYGOY,1,Q3,2,Churned,Yes,1,81,3179,Competitor,Competitor made better offer
3,VRZYZI9978,4598-XLKNJ,1,Q3,2,Churned,Yes,1,88,5337,Dissatisfaction,Limited range of services
4,FDNAKX1688,4846-WHAFZ,1,Q3,2,Churned,Yes,1,67,2793,Price,Extra data charges
5,YZFIXL5823,4412-YLTKF,1,Q3,1,Churned,Yes,1,95,4638,Competitor,Competitor had better devices
6,KSGHEG1626,0390-DCFDQ,1,Q3,2,Churned,Yes,1,76,3964,Other,Don't know
7,PABMTY8825,3445-HXXGF,1,Q3,1,Churned,Yes,1,91,5444,Dissatisfaction,Service dissatisfaction
8,YAMNBI7178,2656-FMOKZ,1,Q3,2,Churned,Yes,1,91,5717,Dissatisfaction,Limited range of services
9,GIFMGB8144,2070-FNEXE,1,Q3,2,Churned,Yes,1,81,4419,Price,Lack of affordable download/upload speed
10,UMEKHN2443,0094-OIFMO,1,Q3,1,Churned,Yes,1,85,5980,Dissatisfaction,Product dissatisfaction
11,YIPBAY5152,9947-OTFQU,1,Q3,1,Churned,Yes,1,86,4616,Competitor,Competitor had better devices
12,YZFWSV3242,9514-JDSKI,1,Q3,2,Churned,Yes,1,65,5828,Dissatisfaction,Limited range of services
13,MDETXO4922,7273-TEFQD,1,Q3,2,Churned,Yes,1,96,2314,Price,Long distance charges
14,BEGOJN9758,3606-TWKGI,1,Q3,1,Churned,Yes,1,84,2494,Competitor,Competitor had better devices
15,JLJPDE1341,4385-GZQXV,1,Q3,1,Churned,Yes,1,81,3810,Competitor,Competitor had better devices
16,OHPSLR4475,3488-PGMQJ,1,Q3,2,Churned,Yes,1,80,4345,Dissatisfaction,Poor expertise of online support
17,GQOQWC2393,7534-BFESC,1,Q3,2,Churned,Yes,1,91,2018,Competitor,Competitor made better offer
18,OFKDMH9951,8098-LLAZX,1,Q3,3,Churned,Yes,1,85,3677,Competitor,Competitor made better offer
19,GHCFVK8885,0265-EDXBD,1,Q3,2,Churned,Yes,1,69,4105,Attitude,Attitude of support person
20,DSIMCQ4621,2840-XANRC,1,Q3,2,Churned,Yes,1,73,2212,Competitor,Competitor made better offer
21,DHXVBL4276,5020-ZSTTY,1,Q3,1,Churned,Yes,1,83,4149,Competitor,Competitor made better offer
22,ZIEQWD5744,5804-LEPIM,1,Q3,3,Churned,Yes,1,73,2671,Other,Don't know
23,GQQMMS7744,0623-IIHUG,1,Q3,1,Churned,Yes,1,90,4778,Competitor,Competitor made better offer
24,GUGTBO6929,9057-MSWCO,1,Q3,1,Churned,Yes,1,91,2927,Competitor,Competitor made better offer
25,OEYWPL2828,4895-TMWIR,1,Q3,1,Churned,Yes,1,80,5888,Competitor,Competitor made better offer
26,NMPICW5172,0533-BNWKF,1,Q3,1,Churned,Yes,1,91,5502,Competitor,Competitor made better offer
27,LCTGJR7639,0334-GDDSO,1,Q3,1,Churned,Yes,1,73,2818,Competitor,Competitor made better offer
28,EFSJFW2561,5564-NEMQO,1,Q3,2,Churned,Yes,1,67,4902,Dissatisfaction,Network reliability
29,UNLRRA7673,6235-VDHOM,1,Q3,2,Churned,Yes,1,89,4099,Dissatisfaction,Limited range of services
30,WQCCWE6768,5609-CEBID,1,Q3,1,Churned,Yes,1,87,2666,Competitor,Competitor had better devices
31,QTRLCS8221,5956-VKDTT,1,Q3,1,Churned,Yes,1,82,5273,Dissatisfaction,Product dissatisfaction
32,LGNAAI6835,0257-ZESQC,1,Q3,1,Churned,Yes,1,91,4517,Attitude,Attitude of support person
33,QVCKEA1534,2865-TCHJW,1,Q3,1,Churned,Yes,1,74,5808,Competitor,Competitor had better devices
34,RINVCK3782,5192-EBGOV,1,Q3,1,Churned,Yes,1,66,4880,Competitor,Competitor had better devices
35,WZSVYG6552,3419-SNJJD,1,Q3,1,Churned,Yes,1,91,4196,Attitude,Attitude of support person
36,KZZHRZ2348,4554-YGZIH,1,Q3,2,Churned,Yes,1,96,5059,Competitor,Competitor made better offer
37,CVUUUK5972,5099-BAILX,1,Q3,2,Churned,Yes,1,65,2728,Competitor,Competitor made better offer
38,IYFTSS3523,4913-EHYUI,1,Q3,1,Churned,Yes,1,91,6268,Competitor,Competitor offered higher download speeds
39,YHCEYV9468,1626-ERCMM,1,Q3,1,Churned,Yes,1,84,5604,Competitor,Competitor had better devices
40,BALQIW2979,5644-PDMZC,1,Q3,2,Churned,Yes,1,80,2065,Attitude,Attitude of support person
41,GOFNCE2167,4160-AMJTL,1,Q3,2,Churned,Yes,1,83,5432,Attitude,Attitude of support person
42,YHDSJE8591,0823-HSCDJ,1,Q3,2,Churned,Yes,1,90,5597,Competitor,Competitor made better offer
43,PFDTBW9847,0067-DKWBL,1,Q3,2,Churned,Yes,1,95,3475,Competitor,Competitor made better offer
44,RZBCFN3616,5244-IRFIH,1,Q3,3,Churned,Yes,1,91,4333,Other,Poor expertise of online support
45,RISQKQ8866,2684-EIWEO,1,Q3,1,Churned,Yes,1,90,2482,Competitor,Competitor made better offer
46,YOEBSY6292,6683-VLCTZ,1,Q3,3,Churned,Yes,1,92,5444,Competitor,Competitor made better offer
47,TEYSZL2724,0691-IFBQW,1,Q3,1,Churned,Yes,1,81,2403,Competitor,Competitor made better offer
48,VEMTOD4929,3643-AHCFP,1,Q3,3,Churned,Yes,1,83,3265,Competitor,Competitor made better offer
49,FRTVGQ8355,9231-ZJYAM,1,Q3,3,Churned,Yes,1,72,5301,Other,Moved
50,WDOXMV5263,0727-BMPLR,1,Q3,3,Churned,Yes,1,83,5679,Competitor,Competitor offered higher download speeds
51,DNYEON2965,0947-MUGVO,1,Q3,1,Churned,Yes,1,95,5849,Competitor,Competitor had better devices
52,NYCEPY5895,0781-LKXBR,1,Q3,1,Churned,Yes,1,70,4038,Competitor,Competitor had better devices
53,ENIKXQ1144,1907-UBQFC,1,Q3,1,Churned,Yes,1,91,3189,Competitor,Competitor had better devices
54,OWORLL9111,6513-EECDB,1,Q3,2,Churned,Yes,1,94,4369,Price,Price too high
55,VXIZTE7781,7074-IEVOJ,1,Q3,1,Churned,Yes,1,91,3501,Dissatisfaction,Product dissatisfaction
56,KPGJZI4687,4750-ZRXIU,1,Q3,1,Churned,Yes,1,83,2467,Competitor,Competitor had better devices
57,OQKZSJ6985,7028-DVOIQ,1,Q3,1,Churned,Yes,1,82,2074,Other,Don't know
58,HTNXWR4877,4208-UFFGW,1,Q3,2,Churned,Yes,1,84,5900,Other,Don't know
59,KUZXVM7215,9889-TMAHG,1,Q3,1,Churned,Yes,1,74,5084,Competitor,Competitor had better devices
60,EURKQW6915,8919-FYFQZ,1,Q3,1,Churned,Yes,1,96,4829,Competitor,Competitor had better devices
61,UMRZPL6948,6646-QVXLR,1,Q3,1,Churned,Yes,1,91,5052,Competitor,Competitor had better devices
62,JUZQQS8256,9369-XFEHK,1,Q3,2,Churned,Yes,1,72,3601,Competitor,Competitor offered more data
63,EWESLU9293,1374-DMZUI,1,Q3,2,Churned,Yes,1,91,5419,Competitor,Competitor made better offer
64,GHJKRV8367,1989-PRJHP,1,Q3,1,Churned,Yes,1,65,2377,Competitor,Competitor had better devices
65,SCUUPF2469,4822-RVYBB,1,Q3,1,Churned,Yes,1,90,5906,Attitude,Attitude of support person
66,LBBSYW6157,4184-TJFAN,1,Q3,1,Churned,Yes,1,68,4486,Attitude,Attitude of support person
67,NRWHER1784,4145-UQXUQ,1,Q3,1,Churned,Yes,1,81,5662,Competitor,Competitor had better devices
68,LAOGXZ1566,1236-WFCDV,1,Q3,3,Churned,Yes,1,96,4777,Competitor,Competitor offered more data
69,GJNFFD2921,1271-SJBGZ,1,Q3,1,Churned,Yes,1,74,2437,Competitor,Competitor had better devices
70,WETAAO2331,4441-NIHPT,1,Q3,1,Churned,Yes,1,90,2995,Competitor,Competitor had better devices
71,GWKCLZ6162,8999-BOHSE,1,Q3,2,Churned,Yes,1,89,2202,Attitude,Attitude of support person
72,BNBGMF8623,7029-RPUAV,1,Q3,3,Churned,Yes,1,87,5508,Competitor,Competitor offered more data
73,RBRBRB7266,8111-SLLHI,1,Q3,3,Churned,Yes,1,96,4687,Attitude,Attitude of support person
74,GBGKMD2787,5293-WXJAK,1,Q3,3,Churned,Yes,1,82,4553,Competitor,Competitor offered more data
75,KGTGMQ9297,4086-YQSNZ,1,Q3,2,Churned,Yes,1,89,3834,Attitude,Attitude of service provider
76,TDRKKK6213,8399-YNDCH,1,Q3,1,Churned,Yes,1,70,4716,Competitor,Competitor had better devices
77,HMXNLD1116,5565-FILXA,1,Q3,2,Churned,Yes,1,96,5913,Other,Don't know
78,AETCLY3972,4187-CINZD,1,Q3,2,Churned,Yes,1,90,3180,Competitor,Competitor had better devices
79,TZXZIZ8987,6818-WOBHJ,1,Q3,1,Churned,Yes,1,69,5651,Competitor,Competitor had better devices
80,HKJWZU2786,9134-CEQMF,1,Q3,2,Churned,Yes,1,89,3077,Dissatisfaction,Network reliability
81,AAIKCR2516,8519-IMDHU,1,Q3,1,Churned,Yes,1,83,4981,Competitor,Competitor had better devices
82,RYXOGF2839,3372-KWFBM,1,Q3,3,Churned,Yes,1,81,2508,Dissatisfaction,Network reliability
83,FMIWPQ9414,7206-GZCDC,1,Q3,2,Churned,Yes,1,75,4371,Attitude,Attitude of support person
84,SKQSBO3455,1768-ZAIFU,1,Q3,1,Churned,Yes,1,67,5688,Competitor,Competitor made better offer
85,SAJGBW1682,3793-MMFUH,1,Q3,1,Churned,Yes,1,90,2230,Competitor,Competitor made better offer
86,TFPHIH7471,6567-HOOPW,1,Q3,3,Churned,Yes,1,76,4363,Competitor,Competitor made better offer
87,VSNVUZ7793,8621-MNIHH,1,Q3,1,Churned,Yes,1,88,3369,Competitor,Competitor had better devices
88,OTTSWI1871,5419-CONWX,1,Q3,1,Churned,Yes,1,89,2268,Competitor,Competitor had better devices
89,HOYCBY7233,7024-OHCCK,1,Q3,3,Churned,Yes,1,72,4193,Other,Poor expertise of online support
