Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Zip Code,Latitude,Longitude,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,CLTV,Partner,Tenure,Monthly Charges,Country_United States,State_California,Quarter_Q3,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Payment Method_Mailed Check,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Lat,Long,SeniorCitizen_Dependents,Tenure_Age_Ratio,AvgMonthlyGB_StreamServices,MonthlyCharge_TotalCharges_Ratio,AvgMonthlyGB_Tenure,Total_Services_Used,Streaming_Services_Count,Internet_Phone_Bundle,Tenure_in_Years,Digital_Payments,Traditional_Payments,Monthly_Charges_Scaled,Revenue_Cluster_Low,Revenue_Cluster_Medium,Revenue_Cluster_High,Refund_to_Charges_Ratio,Extra_Data_Usage_Cost_Proportion,Lifetime_Value_per_Month,Monthly_Charges_18.25-35.5,Monthly_Charges_35.51-70.35,Monthly_Charges_70.36-89.85,Monthly_Charges_89.86-118.75,Lifetime_Value_43-85.918,Lifetime_Value_85.919-137.263,Lifetime_Value_137.264-460.95,Lifetime_Value_460.951-5996,Customer ID
1,1,50,0,0,0,0,0,222,92627,33.645672,-117.922613,0,0,4,1,33.65,0,1,30,0,0,1,0,0,0,0,1,1,73.9,280.85,0.0,0,134.6,415.4500000000001,1,4479,0,4,73.9,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,33.645672,-117.922613,0,0.08,0,0.2631297845825173,120,4,0,1,0.3333333333333333,1,0,886,1,0,0,0.0,0.0,1119,0,0,1,0,0,0,0,1,0004-TLHLJ
1,1,78,0,1,1,0,0,587,94553,38.014457,-122.115432,1,1,13,1,27.82,0,1,4,0,1,1,0,1,1,0,1,1,98.0,1237.85,0.0,0,361.66,1599.51,1,3714,1,13,98.0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,38.014457,-122.115432,0,0.1666666666666666,8,0.0791695278103162,52,6,2,1,1.0833333333333333,1,0,1176,0,1,0,0.0,0.0,285,0,0,0,1,0,0,1,0,0011-IGKFF
1,0,75,0,1,1,0,0,139,93010,34.227846,-119.079903,1,3,3,1,7.38,0,1,11,0,0,0,1,1,0,0,1,1,83.9,267.4,0.0,0,22.14,289.53999999999996,1,3464,1,3,83.9,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,34.227846,-119.079903,0,0.04,11,0.3137621540762902,33,5,1,1,0.25,1,0,1006,1,0,0,0.0,0.0,1154,0,0,1,0,0,0,0,1,0013-EXCHZ
1,0,23,1,0,0,1,3,608,95345,37.581496,-119.972762,0,0,9,1,16.77,0,1,73,0,0,0,1,1,1,1,1,1,69.4,571.45,0.0,0,150.93,722.3800000000001,3,5108,0,9,69.4,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,37.581496,-119.972762,0,0.391304347826087,219,0.1214454457957826,657,7,3,1,0.75,1,0,832,0,1,0,0.0,0.0,567,0,1,0,0,0,0,0,1,0013-MHZWF
1,0,67,0,1,1,0,0,546,93437,34.757477,-120.550507,1,1,71,1,9.96,0,1,14,1,1,1,1,1,1,1,1,1,109.7,7904.25,0.0,0,707.1600000000001,8611.41,3,5011,1,71,109.7,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,34.757477,-120.550507,0,1.0597014925373134,42,0.0138786096087547,994,9,3,1,5.916666666666667,1,0,1316,0,0,1,0.0,0.0,70,0,0,0,1,1,0,0,0,0013-SMEOE
1,1,52,0,0,1,0,0,653,94558,38.489789,-122.27011,1,8,63,1,12.96,1,1,7,1,0,0,1,0,0,0,0,1,84.65,5377.8,0.0,20,816.48,6214.280000000001,4,4604,1,63,84.65,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,38.489789,-122.27011,0,1.2115384615384617,0,0.0157406374353825,441,4,0,1,5.25,1,0,1015,0,0,1,0.0,0.0037189928967235,73,0,0,1,0,1,0,0,0,0014-BMAQU
1,0,68,0,1,0,0,0,924,93063,34.296813,-118.685703,0,0,7,1,10.53,0,1,21,1,0,0,0,0,0,0,1,1,48.2,340.35,0.0,0,73.71,414.06,3,5525,0,7,48.2,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,34.296813,-118.685703,0,0.1029411764705882,0,0.1416189216982518,147,4,0,1,0.5833333333333334,1,0,578,1,0,0,0.0,0.0,789,0,1,0,0,0,0,0,1,0015-UOCOJ
1,0,25,1,0,1,1,2,970,94086,37.378541,-122.020456,1,2,72,1,16.01,1,1,59,1,1,1,1,1,1,1,1,1,116.8,8456.75,0.0,0,1152.72,9609.47,3,6252,1,72,116.8,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,37.378541,-122.020456,0,2.88,177,0.0138114523901025,4248,9,3,1,6.0,1,0,1401,0,0,1,0.0,0.0,86,0,0,0,1,0,1,0,0,0017-IUDMW
1,0,32,0,0,0,0,0,490,91942,32.782501,-117.01611,0,0,72,1,2.25,1,1,16,1,1,1,0,1,0,0,1,1,101.3,7261.25,0.0,0,162.0,7423.25,3,5513,0,72,101.3,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,32.782501,-117.01611,0,2.25,16,0.0139507660526768,1152,6,1,1,6.0,1,0,1215,0,0,1,0.0,0.0,76,0,0,0,1,1,0,0,0,0019-EFAEP
1,0,39,0,0,0,0,0,558,93441,34.70434,-120.02609,0,0,56,0,0.0,0,1,19,1,1,1,1,0,0,0,1,0,45.05,2560.1,0.0,0,0.0,2560.1,3,5795,0,56,45.05,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,34.70434,-120.02609,0,1.435897435897436,0,0.0175969688684035,1064,4,0,0,4.666666666666667,1,0,540,0,1,0,0.0,0.0,103,0,1,0,0,0,1,0,0,0019-GFNTW
